[2025-05-09 16:58:46] Alert: cc9aef2d-e61c-4905-8f00-c6359b139b09 | Jupiter: 43.50 | Calc: -50.00 | Diff: 214.94%
[2025-05-09 16:58:46] Alert: dcd795e6-319a-4fa1-ad6c-16b972cc2542 | Jupiter: 43.50 | Calc: -50.00 | Diff: 214.94%
[2025-05-09 16:58:46] Alert: cc9aef2d-e61c-4905-8f00-c6359b139b09 | Jupiter: 43.50 | Calc: -50.00 | Diff: 214.94%
[2025-05-09 16:58:46] Alert: dcd795e6-319a-4fa1-ad6c-16b972cc2542 | Jupiter: 43.50 | Calc: -50.00 | Diff: 214.94%
[2025-05-09 16:58:46] Alert: cc9aef2d-e61c-4905-8f00-c6359b139b09 | Jupiter: 43.50 | Calc: 50.00 | Diff: 14.94%
[2025-05-09 16:58:46] Alert: dcd795e6-319a-4fa1-ad6c-16b972cc2542 | Jupiter: 43.50 | Calc: 50.00 | Diff: 14.94%
[2025-05-09 16:58:46] Alert: cc9aef2d-e61c-4905-8f00-c6359b139b09 | Jupiter: 43.50 | Calc: 50.00 | Diff: 14.94%
[2025-05-09 16:58:46] Alert: dcd795e6-319a-4fa1-ad6c-16b972cc2542 | Jupiter: 43.50 | Calc: 50.00 | Diff: 14.94%
[2025-05-09 16:58:46] Alert: cc9aef2d-e61c-4905-8f00-c6359b139b09 | Jupiter: 43.50 | Calc: 200.00 | Diff: 359.77%
[2025-05-09 16:58:46] Alert: dcd795e6-319a-4fa1-ad6c-16b972cc2542 | Jupiter: 43.50 | Calc: 200.00 | Diff: 359.77%
[2025-05-09 16:58:46] Alert: cc9aef2d-e61c-4905-8f00-c6359b139b09 | Jupiter: 43.50 | Calc: 200.00 | Diff: 359.77%
[2025-05-09 16:58:46] Alert: dcd795e6-319a-4fa1-ad6c-16b972cc2542 | Jupiter: 43.50 | Calc: 200.00 | Diff: 359.77%
[2025-05-09 17:06:05] Alert: 7f953c32-02c3-4fce-b539-70fd42671ca0 | Jupiter: 43.50 | Calc: -50.00 | Diff: 214.94%
[2025-05-09 17:06:05] Alert: cc9aef2d-e61c-4905-8f00-c6359b139b09 | Jupiter: 43.50 | Calc: -50.00 | Diff: 214.94%
[2025-05-09 17:06:05] Alert: dcd795e6-319a-4fa1-ad6c-16b972cc2542 | Jupiter: 43.50 | Calc: -50.00 | Diff: 214.94%
[2025-05-09 17:06:05] Alert: 7f953c32-02c3-4fce-b539-70fd42671ca0 | Jupiter: 43.50 | Calc: -50.00 | Diff: 214.94%
[2025-05-09 17:06:05] Alert: cc9aef2d-e61c-4905-8f00-c6359b139b09 | Jupiter: 43.50 | Calc: -50.00 | Diff: 214.94%
[2025-05-09 17:06:05] Alert: dcd795e6-319a-4fa1-ad6c-16b972cc2542 | Jupiter: 43.50 | Calc: -50.00 | Diff: 214.94%
[2025-05-09 17:06:05] Alert: 7f953c32-02c3-4fce-b539-70fd42671ca0 | Jupiter: 43.50 | Calc: 50.00 | Diff: 14.94%
[2025-05-09 17:06:05] Alert: cc9aef2d-e61c-4905-8f00-c6359b139b09 | Jupiter: 43.50 | Calc: 50.00 | Diff: 14.94%
[2025-05-09 17:06:05] Alert: dcd795e6-319a-4fa1-ad6c-16b972cc2542 | Jupiter: 43.50 | Calc: 50.00 | Diff: 14.94%
[2025-05-09 17:06:05] Alert: 7f953c32-02c3-4fce-b539-70fd42671ca0 | Jupiter: 43.50 | Calc: 50.00 | Diff: 14.94%
[2025-05-09 17:06:05] Alert: cc9aef2d-e61c-4905-8f00-c6359b139b09 | Jupiter: 43.50 | Calc: 50.00 | Diff: 14.94%
[2025-05-09 17:06:05] Alert: dcd795e6-319a-4fa1-ad6c-16b972cc2542 | Jupiter: 43.50 | Calc: 50.00 | Diff: 14.94%
[2025-05-09 17:06:05] Alert: 7f953c32-02c3-4fce-b539-70fd42671ca0 | Jupiter: 43.50 | Calc: 200.00 | Diff: 359.77%
[2025-05-09 17:06:05] Alert: cc9aef2d-e61c-4905-8f00-c6359b139b09 | Jupiter: 43.50 | Calc: 200.00 | Diff: 359.77%
[2025-05-09 17:06:05] Alert: dcd795e6-319a-4fa1-ad6c-16b972cc2542 | Jupiter: 43.50 | Calc: 200.00 | Diff: 359.77%
[2025-05-09 17:06:05] Alert: 7f953c32-02c3-4fce-b539-70fd42671ca0 | Jupiter: 43.50 | Calc: 200.00 | Diff: 359.77%
[2025-05-09 17:06:05] Alert: cc9aef2d-e61c-4905-8f00-c6359b139b09 | Jupiter: 43.50 | Calc: 200.00 | Diff: 359.77%
[2025-05-09 17:06:05] Alert: dcd795e6-319a-4fa1-ad6c-16b972cc2542 | Jupiter: 43.50 | Calc: 200.00 | Diff: 359.77%
