[2025-05-16 17:00:02] Alert: 8c4670d2-ade6-4c17-a781-ce292fca3f13 | Jupiter: 43.50 | Calc: 143.12 | Diff: 229.02%
[2025-05-16 17:00:02] Alert: 5d988f90-2846-4309-96be-89325d2acbc4 | Jupiter: 43.50 | Calc: -75.52 | Diff: 273.61%
[2025-05-16 17:00:02] Alert: 8c4670d2-ade6-4c17-a781-ce292fca3f13 | Jupiter: 43.50 | Calc: 143.12 | Diff: 229.02%
[2025-05-16 17:00:02] Alert: 5d988f90-2846-4309-96be-89325d2acbc4 | Jupiter: 43.50 | Calc: -75.52 | Diff: 273.61%
[2025-05-16 17:00:02] Alert: 25fc0176-fe77-4f9f-8d67-2ce417096709 | Jupiter: 43.50 | Calc: 143.12 | Diff: 229.02%
[2025-05-16 17:00:02] Alert: 994e4ba0-88c7-448a-a233-a7525bff0177 | Jupiter: 43.50 | Calc: -75.52 | Diff: 273.61%
[2025-05-16 17:00:02] Alert: 8c4670d2-ade6-4c17-a781-ce292fca3f13 | Jupiter: 43.50 | Calc: 143.12 | Diff: 229.02%
[2025-05-16 17:00:02] Alert: 5d988f90-2846-4309-96be-89325d2acbc4 | Jupiter: 43.50 | Calc: -75.52 | Diff: 273.61%
[2025-05-16 17:20:35] Alert: 25fc0176-fe77-4f9f-8d67-2ce417096709 | Jupiter: 43.50 | Calc: 138.29 | Diff: 217.91%
[2025-05-16 17:20:35] Alert: 994e4ba0-88c7-448a-a233-a7525bff0177 | Jupiter: 43.50 | Calc: -73.26 | Diff: 268.42%
[2025-05-16 17:20:36] Alert: 8c4670d2-ade6-4c17-a781-ce292fca3f13 | Jupiter: 43.50 | Calc: 138.29 | Diff: 217.91%
[2025-05-16 17:20:36] Alert: 5d988f90-2846-4309-96be-89325d2acbc4 | Jupiter: 43.50 | Calc: -73.26 | Diff: 268.42%
[2025-05-16 17:20:36] Alert: 25fc0176-fe77-4f9f-8d67-2ce417096709 | Jupiter: 43.50 | Calc: 138.29 | Diff: 217.91%
[2025-05-16 17:20:36] Alert: 994e4ba0-88c7-448a-a233-a7525bff0177 | Jupiter: 43.50 | Calc: -73.26 | Diff: 268.42%
[2025-05-16 17:20:36] Alert: 8c4670d2-ade6-4c17-a781-ce292fca3f13 | Jupiter: 43.50 | Calc: 138.29 | Diff: 217.91%
[2025-05-16 17:20:36] Alert: 5d988f90-2846-4309-96be-89325d2acbc4 | Jupiter: 43.50 | Calc: -73.26 | Diff: 268.42%
[2025-05-16 17:20:36] Alert: 551214e5-589c-40da-801b-2145e9349b3b | Jupiter: 43.50 | Calc: 138.29 | Diff: 217.91%
[2025-05-16 17:20:36] Alert: e4f1e857-f06a-4dba-8c5a-8e9492e4910d | Jupiter: 43.50 | Calc: -73.26 | Diff: 268.42%
[2025-05-16 17:20:36] Alert: 25fc0176-fe77-4f9f-8d67-2ce417096709 | Jupiter: 43.50 | Calc: 138.29 | Diff: 217.91%
[2025-05-16 17:20:36] Alert: 994e4ba0-88c7-448a-a233-a7525bff0177 | Jupiter: 43.50 | Calc: -73.26 | Diff: 268.42%
[2025-05-16 17:20:36] Alert: 8c4670d2-ade6-4c17-a781-ce292fca3f13 | Jupiter: 43.50 | Calc: 138.29 | Diff: 217.91%
[2025-05-16 17:20:36] Alert: 5d988f90-2846-4309-96be-89325d2acbc4 | Jupiter: 43.50 | Calc: -73.26 | Diff: 268.42%
[2025-05-16 17:50:33] Alert: da4f5e83-9396-4924-8b71-c4927cba4201 | Jupiter: 43.50 | Calc: 36.18 | Diff: 16.82%
[2025-05-16 17:50:33] Alert: 2d97b5a2-1c78-4a7f-a8a7-0e241e2fc03e | Jupiter: 43.50 | Calc: -67.90 | Diff: 256.09%
[2025-05-16 17:50:33] Alert: da4f5e83-9396-4924-8b71-c4927cba4201 | Jupiter: 43.50 | Calc: 36.18 | Diff: 16.82%
[2025-05-16 17:50:33] Alert: 2d97b5a2-1c78-4a7f-a8a7-0e241e2fc03e | Jupiter: 43.50 | Calc: -67.90 | Diff: 256.09%
[2025-05-16 17:50:33] Alert: da4f5e83-9396-4924-8b71-c4927cba4201 | Jupiter: 43.50 | Calc: 36.18 | Diff: 16.82%
[2025-05-16 17:50:33] Alert: 2d97b5a2-1c78-4a7f-a8a7-0e241e2fc03e | Jupiter: 43.50 | Calc: -67.90 | Diff: 256.09%
[2025-05-16 17:50:33] Alert: 42d62d64-f7f4-4285-b76f-91103ab3795c | Jupiter: 43.50 | Calc: 36.18 | Diff: 16.82%
[2025-05-16 17:50:33] Alert: d93c0cdc-0c78-412a-ad05-efc13343226c | Jupiter: 43.50 | Calc: -67.90 | Diff: 256.09%
[2025-05-16 17:50:33] Alert: da4f5e83-9396-4924-8b71-c4927cba4201 | Jupiter: 43.50 | Calc: 36.18 | Diff: 16.82%
[2025-05-16 17:50:34] Alert: 2d97b5a2-1c78-4a7f-a8a7-0e241e2fc03e | Jupiter: 43.50 | Calc: -67.90 | Diff: 256.09%
[2025-05-16 19:07:02] Alert: 06b63e13-41cf-49c0-aff2-f53df1c539e5 | Jupiter: 43.50 | Calc: 98.03 | Diff: 125.35%
[2025-05-16 19:07:02] Alert: 06b63e13-41cf-49c0-aff2-f53df1c539e5 | Jupiter: 43.50 | Calc: 98.03 | Diff: 125.35%
[2025-05-16 19:07:02] Alert: dd921d9d-31d7-49ef-82f4-b742932dc1c7 | Jupiter: 43.50 | Calc: 98.03 | Diff: 125.35%
[2025-05-16 19:07:02] Alert: dd921d9d-31d7-49ef-82f4-b742932dc1c7 | Jupiter: 43.50 | Calc: 98.03 | Diff: 125.35%
[2025-05-16 19:07:02] Alert: 1a26496b-8686-4206-9f1d-db4e4e8b3dfa | Jupiter: 43.50 | Calc: -96.91 | Diff: 322.79%
[2025-05-16 19:07:02] Alert: 1a26496b-8686-4206-9f1d-db4e4e8b3dfa | Jupiter: 43.50 | Calc: -96.91 | Diff: 322.79%
[2025-05-16 19:07:02] Alert: 28665d0b-1c6a-4f0e-9a9a-ecdbcef9d6ef | Jupiter: 43.50 | Calc: -96.91 | Diff: 322.79%
[2025-05-16 19:07:02] Alert: 28665d0b-1c6a-4f0e-9a9a-ecdbcef9d6ef | Jupiter: 43.50 | Calc: -96.91 | Diff: 322.79%
[2025-05-16 19:12:43] Alert: 00d4c152-c5dc-4e62-888f-ae70d255c541 | Jupiter: 43.50 | Calc: -74.27 | Diff: 270.75%
[2025-05-16 19:12:43] Alert: 00d4c152-c5dc-4e62-888f-ae70d255c541 | Jupiter: 43.50 | Calc: -74.27 | Diff: 270.75%
[2025-05-16 19:12:43] Alert: 00d4c152-c5dc-4e62-888f-ae70d255c541 | Jupiter: 43.50 | Calc: -74.27 | Diff: 270.75%
[2025-05-16 19:12:44] Alert: c0571a11-81a5-40af-b17a-e3fa6d89b5d3 | Jupiter: 43.50 | Calc: -74.27 | Diff: 270.75%
[2025-05-16 19:12:44] Alert: 00d4c152-c5dc-4e62-888f-ae70d255c541 | Jupiter: 43.50 | Calc: -74.27 | Diff: 270.75%
[2025-05-16 19:45:07] Alert: 761a22d3-8f93-4eb0-a91b-1897d8fe1240 | Jupiter: 43.50 | Calc: 10.67 | Diff: 75.48%
[2025-05-16 19:45:07] Alert: 766a07be-5267-4f37-9b34-1cd772fbfb11 | Jupiter: 43.50 | Calc: -74.77 | Diff: 271.90%
[2025-05-16 19:45:07] Alert: 761a22d3-8f93-4eb0-a91b-1897d8fe1240 | Jupiter: 43.50 | Calc: 10.67 | Diff: 75.48%
[2025-05-16 19:45:07] Alert: 766a07be-5267-4f37-9b34-1cd772fbfb11 | Jupiter: 43.50 | Calc: -74.77 | Diff: 271.90%
[2025-05-16 19:45:07] Alert: 761a22d3-8f93-4eb0-a91b-1897d8fe1240 | Jupiter: 43.50 | Calc: 10.67 | Diff: 75.48%
[2025-05-16 19:45:07] Alert: 766a07be-5267-4f37-9b34-1cd772fbfb11 | Jupiter: 43.50 | Calc: -74.77 | Diff: 271.90%
[2025-05-16 19:45:07] Alert: ac942526-aa4e-46fe-87cf-ee0859575071 | Jupiter: 43.50 | Calc: 10.67 | Diff: 75.48%
[2025-05-16 19:45:07] Alert: ea64b6cb-9863-4f9d-9477-50ae603e95b5 | Jupiter: 43.50 | Calc: -74.77 | Diff: 271.90%
[2025-05-16 19:45:07] Alert: 761a22d3-8f93-4eb0-a91b-1897d8fe1240 | Jupiter: 43.50 | Calc: 10.67 | Diff: 75.48%
[2025-05-16 19:45:07] Alert: 766a07be-5267-4f37-9b34-1cd772fbfb11 | Jupiter: 43.50 | Calc: -74.77 | Diff: 271.90%
[2025-05-16 20:03:55] Alert: ac942526-aa4e-46fe-87cf-ee0859575071 | Jupiter: 43.50 | Calc: -2.89 | Diff: 106.64%
[2025-05-16 20:03:55] Alert: ea64b6cb-9863-4f9d-9477-50ae603e95b5 | Jupiter: 43.50 | Calc: -65.62 | Diff: 250.84%
[2025-05-16 20:03:55] Alert: 761a22d3-8f93-4eb0-a91b-1897d8fe1240 | Jupiter: 43.50 | Calc: -2.89 | Diff: 106.64%
[2025-05-16 20:03:55] Alert: 766a07be-5267-4f37-9b34-1cd772fbfb11 | Jupiter: 43.50 | Calc: -65.62 | Diff: 250.84%
[2025-05-16 20:03:55] Alert: ac942526-aa4e-46fe-87cf-ee0859575071 | Jupiter: 43.50 | Calc: -2.89 | Diff: 106.64%
[2025-05-16 20:03:55] Alert: ea64b6cb-9863-4f9d-9477-50ae603e95b5 | Jupiter: 43.50 | Calc: -65.62 | Diff: 250.84%
[2025-05-16 20:03:55] Alert: 761a22d3-8f93-4eb0-a91b-1897d8fe1240 | Jupiter: 43.50 | Calc: -2.89 | Diff: 106.64%
