[2025-05-17 03:42:47] Alert: 3f69047a-501a-4856-9975-62a99ef94418 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:47] Alert: 16c6ef81-05b7-4d93-b85d-4a7f93fa5203 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:47] Alert: 1525ab3d-14e9-4175-83d0-7ba66cad3949 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:47] Alert: 3f69047a-501a-4856-9975-62a99ef94418 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:47] Alert: 0b796505-1313-40f3-bedf-7093506f3652 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:47] Alert: 16c6ef81-05b7-4d93-b85d-4a7f93fa5203 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:47] Alert: bcac2256-b826-49d5-9417-e877432bf674 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:47] Alert: 1525ab3d-14e9-4175-83d0-7ba66cad3949 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:47] Alert: a8ba27fd-e55d-4685-a0ce-333ca1a896b5 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:47] Alert: 0b796505-1313-40f3-bedf-7093506f3652 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:47] Alert: 62e77d6a-e4bc-4031-8c82-a05daee6caa9 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:47] Alert: bcac2256-b826-49d5-9417-e877432bf674 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:47] Alert: 1a943930-3687-47ed-9af8-2b207b4f3435 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:47] Alert: a8ba27fd-e55d-4685-a0ce-333ca1a896b5 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:47] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:47] Alert: 62e77d6a-e4bc-4031-8c82-a05daee6caa9 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:47] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:47] Alert: 1a943930-3687-47ed-9af8-2b207b4f3435 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:47] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:47] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:47] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:47] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:47] Alert: 3f69047a-501a-4856-9975-62a99ef94418 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:47] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:47] Alert: 16c6ef81-05b7-4d93-b85d-4a7f93fa5203 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:47] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:47] Alert: 1525ab3d-14e9-4175-83d0-7ba66cad3949 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:47] Alert: 3f69047a-501a-4856-9975-62a99ef94418 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:47] Alert: 0b796505-1313-40f3-bedf-7093506f3652 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:47] Alert: 16c6ef81-05b7-4d93-b85d-4a7f93fa5203 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:47] Alert: bcac2256-b826-49d5-9417-e877432bf674 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:47] Alert: 1525ab3d-14e9-4175-83d0-7ba66cad3949 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:47] Alert: a8ba27fd-e55d-4685-a0ce-333ca1a896b5 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:47] Alert: 0b796505-1313-40f3-bedf-7093506f3652 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:47] Alert: 62e77d6a-e4bc-4031-8c82-a05daee6caa9 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:47] Alert: bcac2256-b826-49d5-9417-e877432bf674 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:47] Alert: 1a943930-3687-47ed-9af8-2b207b4f3435 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
