[2025-05-28 14:52:24] Alert: 97406955-0b43-48bd-a654-72e210012916 | Jupiter: 43.50 | Calc: -30.28 | Diff: 169.62%
[2025-05-28 14:52:24] Alert: 71297392-3496-4df1-8c3e-66b02dbdb698 | Jupiter: 43.50 | Calc: 1.27 | Diff: 97.07%
[2025-05-28 14:52:24] Alert: b0a5a64e-2b7c-486c-895d-500b8717657b | Jupiter: 43.50 | Calc: 11.82 | Diff: 72.83%
[2025-05-28 14:52:24] Alert: 4bc8b9d2-9764-4b39-972f-5996090e1a8b | Jupiter: 43.50 | Calc: 10.28 | Diff: 76.36%
[2025-05-28 14:52:24] Alert: ed145ebe-9a03-4f51-a0c3-448878296051 | Jupiter: 43.50 | Calc: -69.57 | Diff: 259.92%
[2025-05-28 14:52:24] Alert: 2c654ca3-5523-4634-a0ed-076189aae66e | Jupiter: 43.50 | Calc: -30.28 | Diff: 169.62%
[2025-05-28 14:52:24] Alert: 862a25f1-2b5d-4bd8-be90-47506b3798c0 | Jupiter: 43.50 | Calc: 1.27 | Diff: 97.07%
[2025-05-28 14:52:24] Alert: 3ccef054-6431-4a3d-84c4-23575fe07512 | Jupiter: 43.50 | Calc: 11.82 | Diff: 72.83%
[2025-05-28 14:52:24] Alert: 32a0dc3c-27a3-48d5-b2f5-4e00bcb649cb | Jupiter: 43.50 | Calc: 10.28 | Diff: 76.36%
[2025-05-28 14:52:24] Alert: c72e9e51-067c-4857-93d6-ef29801d80d5 | Jupiter: 43.50 | Calc: -69.57 | Diff: 259.92%
[2025-05-28 14:52:24] Alert: 97406955-0b43-48bd-a654-72e210012916 | Jupiter: 43.50 | Calc: -30.28 | Diff: 169.62%
[2025-05-28 14:52:24] Alert: 71297392-3496-4df1-8c3e-66b02dbdb698 | Jupiter: 43.50 | Calc: 1.27 | Diff: 97.07%
[2025-05-28 14:52:24] Alert: b0a5a64e-2b7c-486c-895d-500b8717657b | Jupiter: 43.50 | Calc: 11.82 | Diff: 72.83%
[2025-05-28 14:52:24] Alert: 4bc8b9d2-9764-4b39-972f-5996090e1a8b | Jupiter: 43.50 | Calc: 10.28 | Diff: 76.36%
[2025-05-28 14:52:24] Alert: ed145ebe-9a03-4f51-a0c3-448878296051 | Jupiter: 43.50 | Calc: -69.57 | Diff: 259.92%
[2025-05-28 14:52:24] Alert: 2c654ca3-5523-4634-a0ed-076189aae66e | Jupiter: 43.50 | Calc: -30.28 | Diff: 169.62%
[2025-05-28 14:52:24] Alert: 862a25f1-2b5d-4bd8-be90-47506b3798c0 | Jupiter: 43.50 | Calc: 1.27 | Diff: 97.07%
[2025-05-28 14:52:24] Alert: 3ccef054-6431-4a3d-84c4-23575fe07512 | Jupiter: 43.50 | Calc: 11.82 | Diff: 72.83%
[2025-05-28 14:52:24] Alert: 32a0dc3c-27a3-48d5-b2f5-4e00bcb649cb | Jupiter: 43.50 | Calc: 10.28 | Diff: 76.36%
[2025-05-28 14:52:24] Alert: c72e9e51-067c-4857-93d6-ef29801d80d5 | Jupiter: 43.50 | Calc: -69.57 | Diff: 259.92%
[2025-05-28 14:52:25] Alert: 2b4f5b76-7cb9-47b1-969c-dbc83d9acbb4 | Jupiter: 43.50 | Calc: -2.69 | Diff: 106.18%
[2025-05-28 14:52:25] Alert: 97406955-0b43-48bd-a654-72e210012916 | Jupiter: 43.50 | Calc: -30.28 | Diff: 169.62%
[2025-05-28 14:52:25] Alert: 71297392-3496-4df1-8c3e-66b02dbdb698 | Jupiter: 43.50 | Calc: 1.27 | Diff: 97.07%
[2025-05-28 14:52:25] Alert: b0a5a64e-2b7c-486c-895d-500b8717657b | Jupiter: 43.50 | Calc: 11.82 | Diff: 72.83%
[2025-05-28 14:52:25] Alert: 4bc8b9d2-9764-4b39-972f-5996090e1a8b | Jupiter: 43.50 | Calc: 10.28 | Diff: 76.36%
[2025-05-28 14:52:25] Alert: ed145ebe-9a03-4f51-a0c3-448878296051 | Jupiter: 43.50 | Calc: -69.57 | Diff: 259.92%
[2025-05-28 14:52:25] Alert: 2c654ca3-5523-4634-a0ed-076189aae66e | Jupiter: 43.50 | Calc: -30.28 | Diff: 169.62%
[2025-05-28 14:52:25] Alert: 862a25f1-2b5d-4bd8-be90-47506b3798c0 | Jupiter: 43.50 | Calc: 1.27 | Diff: 97.07%
[2025-05-28 14:52:25] Alert: 3ccef054-6431-4a3d-84c4-23575fe07512 | Jupiter: 43.50 | Calc: 11.82 | Diff: 72.83%
[2025-05-28 14:52:25] Alert: 32a0dc3c-27a3-48d5-b2f5-4e00bcb649cb | Jupiter: 43.50 | Calc: 10.28 | Diff: 76.36%
[2025-05-28 14:52:25] Alert: c72e9e51-067c-4857-93d6-ef29801d80d5 | Jupiter: 43.50 | Calc: -69.57 | Diff: 259.92%
