[2025-05-16 20:34:41] Alert: 5929ef11-f786-4e5d-acb3-7aa531193319 | Jupiter: 43.50 | Calc: 5.56 | Diff: 87.23%
[2025-05-16 20:34:41] Alert: 74e6c620-53ff-4e9d-a0be-53930e1e26c9 | Jupiter: 43.50 | Calc: -71.32 | Diff: 263.96%
[2025-05-16 20:34:41] Alert: c5b8912f-8694-47be-b17c-cd29cd02185b | Jupiter: 43.50 | Calc: -71.32 | Diff: 263.96%
[2025-05-16 20:34:41] Alert: 469715d3-5edd-4152-8261-e4e985b25cc0 | Jupiter: 43.50 | Calc: 5.56 | Diff: 87.23%
[2025-05-16 20:34:41] Alert: ac942526-aa4e-46fe-87cf-ee0859575071 | Jupiter: 43.50 | Calc: 5.56 | Diff: 87.23%
[2025-05-16 20:34:41] Alert: ea64b6cb-9863-4f9d-9477-50ae603e95b5 | Jupiter: 43.50 | Calc: -71.32 | Diff: 263.96%
[2025-05-16 20:34:41] Alert: 761a22d3-8f93-4eb0-a91b-1897d8fe1240 | Jupiter: 43.50 | Calc: 5.56 | Diff: 87.23%
[2025-05-16 20:34:41] Alert: 766a07be-5267-4f37-9b34-1cd772fbfb11 | Jupiter: 43.50 | Calc: -71.32 | Diff: 263.96%
[2025-05-16 20:34:41] Alert: 5929ef11-f786-4e5d-acb3-7aa531193319 | Jupiter: 43.50 | Calc: 5.56 | Diff: 87.23%
[2025-05-16 20:34:41] Alert: 74e6c620-53ff-4e9d-a0be-53930e1e26c9 | Jupiter: 43.50 | Calc: -71.32 | Diff: 263.96%
[2025-05-16 20:34:41] Alert: c5b8912f-8694-47be-b17c-cd29cd02185b | Jupiter: 43.50 | Calc: -71.32 | Diff: 263.96%
[2025-05-16 20:34:41] Alert: 469715d3-5edd-4152-8261-e4e985b25cc0 | Jupiter: 43.50 | Calc: 5.56 | Diff: 87.23%
[2025-05-16 20:34:41] Alert: ac942526-aa4e-46fe-87cf-ee0859575071 | Jupiter: 43.50 | Calc: 5.56 | Diff: 87.23%
[2025-05-16 20:34:41] Alert: ea64b6cb-9863-4f9d-9477-50ae603e95b5 | Jupiter: 43.50 | Calc: -71.32 | Diff: 263.96%
[2025-05-16 20:34:41] Alert: 761a22d3-8f93-4eb0-a91b-1897d8fe1240 | Jupiter: 43.50 | Calc: 5.56 | Diff: 87.23%
[2025-05-16 20:34:41] Alert: 766a07be-5267-4f37-9b34-1cd772fbfb11 | Jupiter: 43.50 | Calc: -71.32 | Diff: 263.96%
[2025-05-16 20:34:41] Alert: f302c322-2770-4700-961b-af0ff09ded56 | Jupiter: 43.50 | Calc: 5.56 | Diff: 87.23%
[2025-05-16 20:34:41] Alert: 5d906648-d6c5-419b-9c65-788b0f87be51 | Jupiter: 43.50 | Calc: -71.32 | Diff: 263.96%
[2025-05-16 20:34:41] Alert: 5929ef11-f786-4e5d-acb3-7aa531193319 | Jupiter: 43.50 | Calc: 5.56 | Diff: 87.23%
[2025-05-16 20:34:41] Alert: 74e6c620-53ff-4e9d-a0be-53930e1e26c9 | Jupiter: 43.50 | Calc: -71.32 | Diff: 263.96%
[2025-05-16 20:34:41] Alert: c5b8912f-8694-47be-b17c-cd29cd02185b | Jupiter: 43.50 | Calc: -71.32 | Diff: 263.96%
[2025-05-16 20:34:41] Alert: 469715d3-5edd-4152-8261-e4e985b25cc0 | Jupiter: 43.50 | Calc: 5.56 | Diff: 87.23%
[2025-05-16 20:34:41] Alert: ac942526-aa4e-46fe-87cf-ee0859575071 | Jupiter: 43.50 | Calc: 5.56 | Diff: 87.23%
[2025-05-16 20:34:41] Alert: ea64b6cb-9863-4f9d-9477-50ae603e95b5 | Jupiter: 43.50 | Calc: -71.32 | Diff: 263.96%
[2025-05-16 20:34:41] Alert: 761a22d3-8f93-4eb0-a91b-1897d8fe1240 | Jupiter: 43.50 | Calc: 5.56 | Diff: 87.23%
[2025-05-16 20:34:41] Alert: 766a07be-5267-4f37-9b34-1cd772fbfb11 | Jupiter: 43.50 | Calc: -71.32 | Diff: 263.96%
